,beta_t1,beta_t2
1,0.012676550958390206,-0.000812448606871978
2,0.015112741192197713,-0.000967846831160526
3,0.0052385609123578505,-0.0005932743892085192
4,0.00565684209671222,-0.0003527807701596001
5,0.003806896288721346,-0.00016614644582057543
6,-0.0012203030692697556,-0.00015345972207058995
7,0.003662973954623624,-0.0002955825122131322
8,0.00526300406032861,-0.00020676241242726225
9,0.014279256041393679,-0.000601575416221487
10,0.01628879932282356,-0.0005994698933101462
11,0.003473195559788289,-0.000417696516795225
12,0.005617158239922258,-0.0006737523623246872
13,0.005332118333817462,-0.0002957881042650809
14,0.011649833538661943,-0.0008143823887229979
15,0.02884178393194644,-0.0009996647584509886
16,0.015440342845686607,-0.0006687079473757601
17,4.710148133440714e-05,-0.0001534477625705155
18,0.018561320295480327,-0.0008577069528588906
19,0.01118765091774065,-0.0006515645612451103
20,0.017938314111140552,-0.0005803111706502105
21,0.004464787759284692,-0.0005137544393183121
22,0.00425442079815797,-0.0007141090067915527
23,0.006437943748132641,-0.00017974030851659607
24,0.01623163023347073,-0.0007518410758314125
25,0.0061925697442907135,-0.0006432261601821764
26,0.012121951786209749,-0.0003724735593552328
27,0.018066125835837794,-0.001065431363452841
28,0.004912843716147291,-0.0003891749036745145
29,0.010726898941991667,-0.0006273111601517294
30,0.017335082874202212,-0.0011900833900915899
31,0.01322848844765416,-0.0008918068794524036
32,0.013990080423566299,-0.0008713117988252061
33,0.007097173949938566,-0.00030901641231388633
34,-0.0008938354523880159,-0.00023918027794861006
35,0.009531747716898808,-0.0005219663301582456
36,0.0025078474132903174,-0.0005187954555851867
37,0.01085366435093717,-0.0005918894049014338
38,0.01818584305640325,-0.0006333125713978535
39,0.009662019169317616,-0.0004591060584624636
40,0.006704063725643453,-0.0005175774899030103
41,0.015487020196089267,-0.0008687654106245739
42,0.011871483791406854,-0.000666650829921779
43,0.015481804758408806,-0.0005739063921300749
44,0.010541545264395814,-0.0007356140230285207
45,0.0193089200331273,-0.0007053533085155426
46,0.004101941567983179,-0.0005535027192551577
47,0.002529390616924751,-0.00045644234962842765
48,0.005462315137683485,-0.00013611492735683458
49,0.010124370172695046,-0.0007145624953911813
50,-0.007809274119953011,-6.642991055750099e-05
51,0.0032375842864689267,-0.000409133456495453
52,0.02229348727929553,-0.0007947462033100628
53,0.01082768817808331,-0.0005488387167076622
54,0.0025050153841339176,-1.4067732325853163e-05
55,0.015166752028943851,-0.0008254163641715427
56,0.01489972692392118,-0.0008223762561096442
57,0.02759961266728278,-0.000693225969714107
58,0.018111967759382855,-0.0012750595627477024
59,0.02190210184810765,-0.000980382153442568
60,0.01695448951556064,-0.0008970420315762306
61,0.01920029236918288,-0.0007945620368106037
62,0.014043105943126397,-0.0010470359978762389
63,0.022804828417735627,-0.0010082948462382406
64,0.007244576211805881,-0.0005182820625359029
65,0.008388520768053217,-0.0004638568868239253
66,0.021473475362939615,-0.001065954461968862
67,0.013412768104596202,-0.0003105690035668212
68,0.01645865023512797,-0.0009091485298531882
69,0.004781753428712866,-0.0002071940742204288
70,-0.00657524684618023,5.6754267867439065e-05
71,0.023977789172343843,-0.0013027382218646954
72,0.00867660422059725,-0.0004975418053335412
73,0.014466848142982852,-0.0007483288469407053
74,0.013104564388341209,-0.000709822967846593
75,9.394454912672531e-05,-0.00019547530413884483
76,0.01583067389880005,-0.0005945408974050914
