"","boot","coef_t","coef_t2"
"1",1,0.0105951237903166,-0.000472166686334727
"2",2,0.0286564235468909,-0.000437661217289743
"3",3,0.0111534507269778,-0.000119406942767302
"4",4,0.0286661573546884,-0.00109418534873635
"5",5,0.0158041565248861,-0.0011031753378301
"6",6,0.0265259934798929,-0.000693441839713942
"7",7,0.0200824226582043,-0.000807814319063547
"8",8,0.0231446813020098,-0.00106424761691242
"9",9,0.0399166258489343,-0.00164673898349622
"10",10,0.00315926320528473,-0.000444413978475033
"11",11,0.027766263944691,-0.000890567275881096
"12",12,0.0366218017863163,-0.00168272018591108
"13",13,0.0144287002558508,-0.00059243761845986
"14",14,0.0114691380473167,-0.000776977562414334
"15",15,0.0274058286044246,-0.00111856999905419
"16",16,0.0405781384874369,-0.0016836508246094
"17",17,0.00727414633669204,-0.000811665895612618
"18",18,0.00816318490042447,-0.000717216069438126
"19",19,0.0262050953276429,-0.000786438579277547
"20",20,-0.00102935401913035,-0.00014726841214047
"21",21,-0.000106113061712174,-0.000319455305256839
"22",22,-0.000801390986330354,-0.000554304513384673
"23",23,0.00666185048126996,-0.000508532518865472
"24",24,-0.00325451061728635,-0.000342046235996846
"25",25,0.00557666644538678,-0.000576579513436515
"26",26,0.0162385259246716,-0.000678987021308209
"27",27,0.0467067948271289,-0.00164546561203608
"28",28,0.0230723944273966,-0.00081491121380341
"29",29,0.0298801403503631,-0.000887642331780756
"30",30,0.0104122673644717,-0.00060534324286086
"31",31,0.00519763968939718,-0.000233032409458525
"32",32,0.0245145454258474,-0.000761136528855495
"33",33,0.031197290984479,-0.00116457756231213
"34",34,0.00336128651844889,-0.000612771220588948
"35",35,0.0231440239565888,-0.0007133702574536
"36",36,0.0346173298362831,-0.00120774036012498
"37",37,0.0056689591424856,-0.000644732419280395
"38",38,0.0163851402704137,-0.000925817016931887
"39",39,0.00115741564598253,-0.000206578170811888
"40",40,0.00866173421728065,-0.000521020907881375
"41",41,0.0153582385843089,-0.000821613662497348
"42",42,0.00453509398837539,-0.000702141884327826
"43",43,-0.00214553253310858,-0.000222876721743826
"44",44,0.0108636869211241,-0.000759650546397445
"45",45,0.0060822929545161,-0.000323677721241549
"46",46,0.0198666175670127,-0.00100931977074534
"47",47,0.0450121973310243,-0.00163184238188719
"48",48,-0.00547859576817827,-0.00038589905373498
"49",49,0.00819673423980486,-0.000728825634111138
"50",50,-0.00127824110143291,-0.000194394851163395
"51",51,0.0227884726677694,-0.00093301916676478
"52",52,0.00209664258080203,-0.000350498595483962
"53",53,0.0261367779372862,-0.0013449921028301
"54",54,0.0103179805642222,-0.000204770823075377
"55",55,0.0164065483980127,-0.000821555732388707
"56",56,0.0248425053280359,-0.000989174386450433
"57",57,0.0261112515388249,-0.000834243525606793
"58",58,0.0259767998868929,-0.00112090003784994
"59",59,0.00771212901612332,-0.000442478761038014
"60",60,0.017314961372828,-0.00104172403220197
"61",61,0.0565454318226576,-0.0017900297211925
"62",62,0.0109545343330423,-0.000399650550908562
"63",63,0.0195709945995731,-0.00113713016778567
"64",64,0.0125516340100716,-0.000594553236890181
"65",65,0.0100631547125003,-0.000475421486769757
"66",66,0.00171481920223324,-0.000196344719758129
"67",67,0.00950979881380006,-0.000483738466582678
"68",68,0.0227155681848759,-0.00108078120122732
"69",69,0.00978519308858918,-0.0001502039059325
"70",70,0.0221554947719513,-0.000739957168577338
"71",71,0.00579099986579045,-0.000599070307945695
"72",72,0.0201257195290323,-0.000914206830183811
"73",73,-0.000147037025322226,-0.000157878129429895
"74",74,0.0240635351366145,-0.00111656218218082
"75",75,0.0243263809409323,-0.000561704326652506
"76",76,0.0251640770392426,-0.000709555008834703
"77",77,0.0175701240535918,-0.0010024822257605
"78",78,-0.000548734434123776,-0.000454478541696534
"79",79,0.00386790267253185,-0.000342240730548758
"80",80,0.0171744244549925,-0.000827722537059714
"81",81,0.00556097719503347,-0.000414338455924008
"82",82,0.00241579676363164,-0.000464221902274833
"83",83,0.013002113806621,-0.000823844801905258
"84",84,0.00725656445418964,-0.000898757699536272
"85",85,0.00820128880709698,-0.000346301280943647
"86",86,0.0101077544422452,-0.000521112587972521
"87",87,0.0360457495911419,-0.00116785770000803
"88",88,0.0384339865972281,-0.00167945558569196
"89",89,0.0159919510968735,-0.000566621085496093
"90",90,0.00284191979717237,-0.000310497717878033
"91",91,0.0202725655422133,-0.000774325246031653
"92",92,0.0167317140199995,-0.000549781649306844
"93",93,0.0135690084211317,-0.000488163989708656
"94",94,0.0116443069059829,-0.00054330929828319
"95",95,0.00834326821722601,-0.000666718666854426
"96",96,0.0158903282754461,-0.000759557036834183
"97",97,0.0247385411484957,-0.000935540437910307
"98",98,0.00145621882799076,-0.000145298042190086
"99",99,0.018303233074492,-0.000732812819783257
"100",100,0.0128151209319917,-0.000760571626911988
"101",101,0.0170906644141875,-0.000694523422010623
"102",102,-0.000336261121740497,-0.000226984428756754
"103",103,0.0192102557077825,-0.00105050870195747
"104",104,0.00480722568238541,-0.000468841352670029
"105",105,0.00676972690224616,-0.000525540648707509
"106",106,0.0462479183941316,-0.00183090538340825
"107",107,0.0156224964374689,-0.000674239274329204
"108",108,0.0236475298621836,-0.000794868741160841
"109",109,0.0128119601655082,-0.000453500250615334
"110",110,0.0124994691686626,-0.000692170510400642
"111",111,0.0149909095384273,-0.00052801180282118
"112",112,0.0257324034842153,-0.00105158067432591
"113",113,0.0266345764040789,-0.00119395268919352
"114",114,0.00811366618826737,-0.000291650213797177
"115",115,-0.0053093652705569,-0.000101869508830526
"116",116,0.0187059338063941,-0.000861150343427299
"117",117,0.0151245705716172,-0.000848103618045687
"118",118,0.00999438835249438,-0.000131409866719029
"119",119,-0.00762355661279019,3.46247926956583e-05
"120",120,0.00876908846058792,-0.000504990296845166
"121",121,0.00742115563452284,-0.000238699177084919
"122",122,0.0172733041394575,-0.000875025772929287
"123",123,0.00394199089538009,-0.000635232211291991
"124",124,0.0165515731814586,-0.000652915355717563
"125",125,0.016021836196475,-0.000938244522139017
"126",126,0.000144368564690534,-0.000316348726259725
"127",127,0.0230088530901402,-0.00104714021223969
"128",128,0.000928053718395132,-0.000735351588881756
"129",129,0.0193426436823997,-0.000955255472939394
"130",130,0.00876349975071199,-0.000471768795804226
"131",131,0.0027460736085391,-0.000168840601155968
"132",132,0.0136525292378783,-0.000600576922643805
"133",133,0.00255442308819966,-0.000553166955505146
"134",134,0.00891457951413333,-0.000166541068738563
"135",135,0.0450244354264645,-0.00156835924333117
"136",136,0.0160719502039137,-0.000730904509289291
"137",137,0.0206380754384635,-0.000581644488499002
"138",138,5.28114836924744e-05,-0.000283686298898343
"139",139,0.00692126042452097,-0.000613048843751803
"140",140,0.000965327465851786,-0.00050199260378346
