,beta_t1,beta_t2,p_t1,p_t2
1,0.017274137546326677,-0.0006224129426396247,0.047893804694449295,0.014499228395898116
2,0.012718000955123553,-0.0004966489595571556,0.015233965774978759,0.0027188176401942168
3,0.012788975445474622,-0.0005251488937983431,0.01685115452882395,0.0015444308123587678
4,0.014842394914479412,-0.0006357592666974295,0.010712973621097188,0.0004998555210660099
5,0.012900303539524456,-0.0005733653183859301,0.0006178933230126877,1.3571116896969809e-05
6,0.015117724618685057,-0.0005662707851479579,0.0026141878531736047,0.00045489076325651133
7,0.013209761875717357,-0.0005678613366463599,0.0013658728532570353,6.319509170650683e-06
8,0.01834967091735267,-0.0007008047815702019,0.008957583074616117,0.0004165049998296388
9,0.012559328616144078,-0.0004072643231064032,0.02586482060626795,0.01884504294160858
10,0.011816465590408672,-0.0005607600995042428,0.020414516916154424,0.001963899386959755
11,0.02541321979112432,-0.0009228594305263984,0.056444496736635145,0.010019652134473315
12,0.020802635696779658,-0.0007180554817632682,9.649983023675655e-05,3.487395972520128e-06
13,0.018426724540675274,-0.0006469347857343854,0.008076784731665817,0.0021154234480671823
14,0.014106675507615182,-0.0005088549604597649,0.07396264280450734,0.026444007036399052
15,0.016860185109008916,-0.0006325241279426829,0.006943381370604791,0.0007156372669550432
16,0.01123324096370662,-0.00043538796696972366,0.0001024132358159799,0.0006127594815942557
17,0.014608958301837487,-0.0005823407306807934,0.030862424305775824,0.004394445352883699
18,0.01700839889968977,-0.0006886044013623051,0.000325083712082227,4.92349761232401e-05
19,0.01809519444671749,-0.0006394135048093579,0.0192163254870595,0.005864357986909166
20,0.016189215031800725,-0.0007480699367444095,0.001045336185183318,2.127034141731231e-06
21,0.020135735433831042,-0.0006683185282365154,0.04105806921561159,0.01579674459640631
22,0.016273696310534134,-0.000486394361664289,0.0017865959266652484,0.002367698622107441
23,0.01634262213170252,-0.0006855330525661245,0.00021733901388517308,1.3384277932293507e-05
24,0.018874910289100228,-0.0006582059144333745,8.785998660348614e-05,5.8931931754505205e-05
25,0.015641445366432034,-0.0006726760295883128,0.03791903559208018,0.006319733264035224
26,0.012841258288782086,-0.0005478368564220952,0.002435997474004266,0.00022204846497633516
27,0.017810779813342066,-0.0006403206982606737,0.033919037665443734,0.012253048446044692
28,0.01966305865472262,-0.0006895093524242459,4.1760823945358285e-05,2.9576005478497623e-06
29,0.019475387772221714,-0.0007137867318998273,0.004355480761863769,0.000291527874284164
30,0.01775694594802351,-0.0005635274877982665,0.02199071423369202,0.015213380993518825
31,0.013486852061462318,-0.0005716709160583868,0.0001876282895731097,0.0017844531607585277
32,0.01936211418168261,-0.0006599851166195426,0.009158131094286877,0.002978562394206809
33,0.014855491811479446,-0.0005792896643992572,0.0020604438561199097,0.00045090383890154887
34,0.022842038632051077,-0.0008948689353541212,0.02938946113033157,0.002953213073667724
35,0.01597051000585595,-0.0006198796300079963,0.0002978554630906386,3.4083373324713596e-05
36,0.012297395805713311,-0.000563410743379993,0.0009751174990897415,5.042786472689721e-05
37,0.017448096720880324,-0.0006494000727640874,0.025694913678949327,0.0055623022795693935
38,0.018012761177714647,-0.000723738271910828,0.006256492617761479,0.0003207663815593967
39,0.01015523011032221,-0.0004206934063502905,0.011114392367161087,0.0023646471739392134
40,0.02218222090578726,-0.000701305107056221,0.01154984574685733,0.0032905921318935544
41,0.014224844550864963,-0.0005744256297116489,0.0022552180345495345,0.00020827663686854368
42,0.017510762170054636,-0.0006406178264347509,0.006565473930566128,0.00388610445839663
43,0.016886862571054234,-0.0005734926082919537,0.012770028036516876,0.0044996220555744825
44,0.014742924733744282,-0.0005629899733974876,0.007704631300340072,0.0025460592812727428
45,0.011073177220607307,-0.0004111904491547789,0.12303591682077739,0.049678854374413405
46,0.015564529177092026,-0.0005918639996598825,0.00533290491384934,0.00045150179471087354
47,0.021338245527563467,-0.000676106590422524,0.010199164862955764,0.004132421522376443
48,0.015623141221249928,-0.0005252369511282582,0.003160439540838327,0.0020401179330199635
49,0.016940482349221624,-0.0006110765534912688,0.00939735991687652,0.003985408530533735
50,0.01915009173948564,-0.000705598134532148,0.00044998595109091725,9.633657199092319e-06
51,0.012000209435932895,-0.0005439300598986533,0.0005410055526955633,2.5853454737783854e-05
52,0.019670286633887486,-0.0006425935746653787,0.00013303388450661765,0.0005505134396339453
