"fuel","em","units","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"biomass","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"brown_coal","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.242667955500566","0.242667955500566","0.242667955500566","0.242667955500566","0.242667955500566","0.242667955500566","0.242667955500566","131.28306964522","134.354329059822","124.116797677813","125.140550816014","149.710626132836","153.80563868564","160.971910653046","175.304454587859","93.8394638863042","170.064763799016","262.798685244861","313.56633184077","303.948158197795","347.833600326736","442.52634457893","415.896749566127","539.243972224014","550.3684668628","582.381475587385","606.146177392037","626.37443409434","644.535937547417","664.40014153251","664.587007994799","356.68896439226","291.553538895663","302.642866029035","311.772294934276","345.682054150642","370.220624079505","375.384478347017","446.822655394044","539.62466718807","507.962025665016","474.761202588339","569.873329279814","549.113441361105","626.60966267146","703.703699108136","628.139296324985","740.465936579468","725.258038009521","813.881780755305","814.855010324647","958.294633590611","1025.34785787615","1137.25498371121","1347.22071824713","1358.0348037663","1549.57634647525","1620.89151921119","1720.84223650422","2018.47802089174","2081.716028224","2325.09560688295","2519.88872874026","2660.99872729146","2721.4823325967","3076.5693815512","3294.19693399774","3783.01009180716","4276.56307699267","4529.06495826462","4943.97358550333","5349.38546291421","5881.88361675479","6927.21952619786","7209.82475482311","7586.67552095415","8339.21345287198","9248.82061287955","9836.81418887553","10478.466942423","11501.9219589687","11783.4430084822","13444.4230055556","14585.2597126909","15729.2846852235","16639.2033054864","19763.6480387507","21283.7137280746","22989.5651406049","25442.5767785743","23986.5069624765","28672.7322382883","28671.3507736984","29905.0732512202","32146.5149322732","40205.20697488","36355.5276237215","37419.3934499794","40830.5931585269","41661.4228949091","43235.8627434546","44078.5155296452","45886.4995639856","48962.9643828408","51844.1292932247","55916.9137302489","59378.693013998","60246.2865123098","63139.2129735446","65283.0543586557","69748.3900324367","73427.9546642307","78743.0253277047","83712.0221421492","88470.1799116248","96766.2609418148","101216.5968511","98809.4282080352","102922.047668602","107533.334773279","111165.538877788","126116.136306191","135228.329499324","143571.086942311","139772.06061391","146348.639370356","148107.497754138","161478.187266296","177625.49631704","153747.315036072","148020.436737116","149731.925077761","144275.550462747","135528.04136697","120913.111660936","139538.74103182","151838.415167571","161249.959493963","132001.115008415","163533.834478411","172398.840699772","179376.129667525","195944.609032573","209094.329196605","225724.751706296","193597.360730161","179959.385750902","168448.868674576","175236.874398136","192225.237724486","207075.027207943","227325.801281381","254394.849426034","265821.201533983","282538.200079353","321869.58643658","316880.366793756","304628.351451992","328694.654859819","300830.840489541","195415.343567639","210993.787409213","248677.613372785","275258.970106772","304522.616888824","331694.828994197","359761.853257683","372923.852271849","387212.296964443","405440.332362039","435755.922211282","451747.382785029","464780.399239517","469019.034026295","475735.92725745","487174.651031236","496345.286781678","505445.70044615","522329.112373093","535648.669771013","525409.452987652","522598.931016902","512473.019422658","522339.577630682","530921.966487144","561786.618477485","575647.885125086","598498.655266448","620767.223434745","630011.755753688","654043.554083865","689522.210370178","700180.368283374","697763.318211045","723609.875842873","751474.898915763","766471.335846586","798658.578186178","824462.881358034","857004.879308918","894557.331817371","902609.465590154","934397.609257027","950670.618769361","969165.391598903","921260.651963745","885965.69315756","845044.697580975","814099.04110939","775634.519489755","773875.943761406","786144.596475172","784805.254982899","768482.308964165","765107.726625828","812652.752711955","808990.428349601","800363.142480623","819984.382017435","811915.757587792","797049.246371704","798567.364348488","799453.740922476","804098.153628785","772390.769217452","787206.644826394","829656.024356522","819523.552621621","781618.492428225","774092.28214854"
"coal_coke","CO2","kt","498.595223234324","498.595223234323","498.790597538098","498.7905975381","498.985971841875","499.181346145647","533.567223610084","533.762597913861","533.957972217635","534.153346521411","534.15334652141","585.146039806739","585.341414110516","585.536788414289","585.732162718064","585.927537021841","653.722420431837","653.917794735612","654.113169039386","654.308543343161","654.503917646937","725.815538524887","726.010912828663","726.206287132435","726.401661436213","726.597035739988","801.816142693441","802.011516997215","802.206891300991","802.402265604767","802.79301421232","898.135674454619","898.331048758392","898.721797365945","898.917171669719","899.407697544181","1021.12588879613","1021.51663740368","1021.71201170746","1022.10276031501","1022.49350892256","1142.06258283299","1173.29703025368","1174.41067805216","1172.19638838616","1172.82810339069","1230.38548741858","1291.52463856925","1345.1809681523","1416.93550403132","1514.20305772885","1518.63302734","2272.87457821467","1704.0636934961","1887.80566760539","1827.11167697092","1906.18169904431","2000.59788378249","1903.87587788696","1905.22575473354","2046.21592941899","2163.53624658711","2236.76720772325","2244.69232353048","2296.8415360879","2374.60089888423","2669.21556766539","2749.65548203171","2767.02739638576","2843.77436504342","2903.81159400441","2953.54105074626","3071.93539274842","3231.68235736459","3378.74887311111","3476.71185251577","3534.2695607338","3782.50958247027","3825.0417003283","3841.66947988389","5278.61188382424","4952.53546823455","5036.22885934321","5156.81503468328","5277.51173672159","5407.8602187662","6278.73895632168","6342.52853367566","6598.47517333137","6892.45234180742","7354.30891898719","7609.90404271676","8020.7040717367","8205.85681927866","8777.68668156895","9592.55678321316","10063.9796985644","10956.3582176128","11034.2781116117","11531.1246653643","12256.254493755","12553.0201534585","13347.0117881116","14141.4446250306","16487.6183781238","16863.4501711802","17895.0361803367","18129.9268799055","18749.8297875373","19539.4472937078","21223.9317620437","22435.8523784889","23126.7178072934","24386.8675060543","26106.3291073429","27797.7853103428","28228.4719376403","30358.6180131532","31572.9869993427","33462.9777012083","34375.5290496404","37043.7212205635","41062.8607587139","43458.1130212653","41214.1150919532","43640.7485846143","44321.6841562228","44586.5552206373","45077.8270877552","48357.3088504716","56465.5524288672","55862.5174325894","59091.4997967523","63043.2555156247","63635.8509053128","64226.6384354851","64528.3716412754","67754.5283783723","74396.1686899011","75118.6084640337","80976.4346904072","85002.4915111859","85134.1040719926","84587.289932926","88381.7728207903","92914.9343824208","96207.644589977","100889.492222986","106278.087106045","115231.886172862","121898.198676902","124628.205174057","126728.09067437","137712.600842026","139043.33873639","147198.512364752","157586.046171986","176111.826860383","172751.065366386","176462.500125304","186123.838242374","187548.983852297","197861.777096228","210855.343454045","186340.532993909","180249.666799932","190307.304533422","194005.525121572","192014.817558867","160547.735623033","185547.440490734","162698.285407511","169618.834400221","171671.989344647","179406.638859297","180738.940719697","183726.89720477","195663.802488856","191925.098598087","206285.091853778","184866.785932472","162561.682545242","143289.267823152","150337.432802016","163948.735035562","171220.423535252","184255.202182854","199082.277056795","185737.401925719","197868.572028992","221478.776050888","231285.65000913","236086.653038365","236753.284814899","224062.803366672","158927.574569647","180597.254889069","204078.616276572","212606.08027523","176773.738274374","183168.794048589","201239.912243597","202366.488712335","205243.156827536","207583.275066625","221495.466204958","233442.026397671","238243.739404827","237113.143374119","237839.954079046","257503.424405813","252714.063900359","256747.976218626","280057.601772048","276403.864304502","282299.853869629","279523.193203645","275275.489553422","276029.126688995","292977.269869236","299792.281011655","292364.685203009","303273.207908319","295384.401816503","294839.802208297","287077.574761256","268638.226168138","283865.868681024","285603.622751077","306430.400603319","327315.245830146","336306.049433681","298431.082186089","300735.526964441","306806.473453557","315153.436751674","309681.108567144","304657.957628756","313205.156764227","314860.989925546","327212.758912787","292019.053342177","304827.35497056","310195.029018502","293280.277306681","299929.261894965","318652.062519622","292534.199055752","280392.069204162","254975.289481948","253459.792827054","252925.923425126","255744.689307141","276831.992429529","291956.967367658","351017.052577866","387617.758591281","408450.125700059","400537.70010546","389026.913747795","416385.646399931","462636.76972414","472672.953835428","484570.448979974","480181.41718316"
"diesel_oil","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.0383637636625","13.2588362334966","15.3281144212253","29.063747700561","28.2366294538167","75.8029614708275","239.925279697319","350.672852383662","324.262375697563","295.612254513849","353.032084283377","518.821154815638","554.786844145356","632.152179759589","720.279532562292","886.860367307083","958.227593431334","1055.43310934753","1541.48674176652","1605.49376186867","1548.30384297382","1688.97119781473","2204.99705196337","2453.33311080499","3033.21304768331","3605.81794736568","4040.33817276288","4488.59058659998","3880.49747978325","4425.30540930469","4463.39022357769","5091.02763472197","5446.92155906947","5744.73930547368","6780.09709422647","8257.16381924405","9757.93421410776","9744.67826094107","10015.4459504208","9799.72845131884","11241.13580231","12271.8141927841","13040.6576324889","13892.0856270353","14799.4198026171","16434.1393805517","18486.5004853045","20245.2363624108","22624.927645993","26221.0757641971","28566.51199318","31327.7787945297","38089.7041498975","40499.5962242659","44044.2266018017","46237.9917550333","51019.9652351178","54546.7345473914","59172.5842723179","60473.3075988957","61421.5521240333","59665.4306958115","62750.3642796292","67804.8438300034","72971.9887922365","88339.7829296909","93876.4366210868","107757.527126824","124429.068351351","128694.492072782","142820.939296782","153077.940761118","170821.147992201","181440.472089305","200735.805307253","201963.392176504","206110.617450008","204158.882667254","215113.524285712","231760.70731122","242349.459231088","259351.954728027","262582.880794337","249683.469426005","254536.613208846","260106.057070352","263002.727034307","255757.026845247","266324.709843862","273979.514592727","284063.583923785","293472.322136771","316962.897228119","354948.116828732","355665.831898997","379839.287725748","416500.862090489","444743.420713595","471713.942122398","502263.151599579","558273.667255513","607160.789522921","633640.023990444","659098.122365043","691901.452996894","733324.317445427","772879.078168183","842026.552277192","907045.152408578","965496.539296786","1041129.58292354","1100587.11562491","1166394.16554636","1285833.54333957","1369207.58600316","1486090.61213312","1571879.88723083","1699878.32538902","1832974.3225675","1760730.77020546","1817275.20873197","1946839.65054542","2022613.61556464","2134706.070107","2171050.56050209","2070685.38597747","2019908.43494661","1988186.90170136","2013095.09744836","2085762.96198709","2140839.28458884","2199441.25570832","2281264.24025336","2381195.44502067","2428444.93802877","2492214.45439655","2558170.31889892","2557467.86961164","2615921.32145441","2650432.92326412","2746851.83821324","2913863.9551993","2924620.64477608","2934196.38764176","2991155.43108878","3115677.96694097","3189802.1520463","3242300.43824985","3369339.74851607","3573654.78894943","3652651.31865849","3749669.28092869","3876953.80519135","3941939.04913021","3775385.31177531","3813947.69260541","3972768.81649473","3909207.38160841","3964017.20393525","3991750.88608777"
"hard_coal","CO2","kt","7959.09427288252","7959.09427288255","7962.21304023086","7962.21304023086","7965.33180757919","7968.45057492747","8517.35362822971","8520.47239557802","8523.59116292635","8526.70993027464","8526.70993027463","9340.7082081831","9343.8269755314","9346.9457428797","9350.06451022798","9353.18327757631","10435.3955474393","10438.5143147876","10441.6330821359","10444.7518494842","10447.8706168325","11586.220698965","11589.3394663133","11592.4582336616","11595.5770010099","11598.6957683582","12799.4211974569","12802.5399648052","12805.6587321535","12808.7774995018","12815.0150341984","14336.9735001728","14340.0922675211","14346.3298022178","14349.4485695661","14358.7753206207","16301.7673786167","16308.0049133133","16311.1236806616","16317.3612153582","16323.5987500548","18232.2843672194","18426.0461285005","18436.6787622577","18425.1471994041","18432.8497671209","19294.4839069072","20260.9243822669","21100.7717280582","22212.8507622487","23552.0671495805","23643.9167614276","30580.2927181308","26626.9204884532","28323.3797191393","28118.1620157742","29512.5052263054","29952.2006210915","29523.1221408492","29526.9852536281","30923.9331210569","32841.705377265","33995.6301747903","34215.8000329749","34994.5014558805","36024.5128999599","39245.6484461411","40083.6503290095","40293.8367586816","40749.054210804","41258.4554752346","41809.7030537604","43485.833661206","45876.8390470002","48062.5890983902","49099.7422252673","49764.2450685147","52873.547285018","53416.9421084552","53871.2789194598","72114.2511894643","68446.2385378798","69473.0787625831","70523.9907188941","71496.2302788978","72718.695691175","84677.3908764566","84210.5693142003","86849.7143157653","89900.326899073","94942.5316498078","97508.8779581252","102440.512889154","105796.915906272","112450.173622882","122473.436540631","125797.352097405","137594.284133509","140368.391183092","147666.617466515","157468.201807046","156449.647382671","161650.124473072","167236.687156231","195020.782459362","193879.871132686","208384.583377985","211288.544406142","215885.617033171","233097.442815283","258229.837607536","270154.535417832","274679.672934053","293370.260699045","315699.709726151","335911.089956579","346221.375378705","370169.095149538","379452.924314585","403747.448908653","414350.393166407","445281.549652727","497052.401727407","530171.355497979","514430.471183824","548063.321824562","552200.896370544","563353.294268461","567222.907233401","606209.574733127","684500.620977269","704779.304423018","742641.87782366","791750.614258656","797105.652449876","799534.154344905","805415.074496238","842372.620662228","928485.222014041","927504.751715713","1004336.88790501","1048846.57820534","1057528.27376582","1033517.44291271","1081617.96557566","1140977.50414374","1172099.03614151","1220590.00938734","1282607.9012308","1399857.78341887","1464992.92100883","1505054.31580324","1546078.50547843","1683067.22708132","1688922.71969889","1790355.66828482","1914130.03927997","2123189.1322176","2024108.81244242","2100154.04167171","2205823.87960739","2249768.11726996","2345979.21208512","2487332.64449834","2232589.59643311","2214557.19061283","2388469.71249765","2473966.12016335","2438637.86426666","2070097.14120018","2373567.39697103","1971219.28575215","2064682.48387599","2257145.90701824","2253963.03587327","2254519.45088146","2266592.22234484","2413127.30360021","2349779.36531758","2502093.66937218","2281023.04211656","2019721.42065621","1803309.77832223","1894811.55392828","2060656.35236842","2140226.34294407","2333963.51495571","2448779.87760568","2255854.06307559","2399711.99084311","2698335.93966514","2776014.73465899","2825073.43320321","2861180.81128483","2751578.27480125","2188641.00650088","2290007.63246125","2496486.69274668","2547567.43725774","2358873.28025468","2416352.27973666","2549421.21721236","2530426.49260296","2504566.46289756","2522990.25945407","2700353.79100199","2845660.16310429","2880722.55559909","3030148.67840741","3162742.7571336","3295771.38313081","3098335.8951771","3084466.855298","3168394.78747677","3185184.0269248","3233088.08855879","3266292.10123504","3188263.51689239","3231567.68774746","3339362.36888669","3488254.98058869","3460128.91856488","3467802.61510039","3597695.43749019","3611377.02644141","3766168.59281349","3973900.32197305","4184331.26486258","4395684.67655637","4591651.84446411","4735243.2754357","4790313.82801608","4906922.40016082","5071563.45356789","5280463.25490388","5436089.14447833","5501936.65991347","5802002.16028133","5950020.60175902","6001238.52395104","6024876.815281","6073488.50189761","6021447.54661768","6069687.2597164","6105877.81597932","6291095.55912722","6362272.4612757","6347552.71893246","6457516.13958909","6349177.12556264","6753893.21134684","6840896.86307664","7141592.03541009","7829957.89721852","8409283.81807996","8915093.27194382","9475340.63992493","10020926.6280566","10085692.2587248","10131803.3123439","10573127.3468002","11031339.5645398","11205307.3928237","11775617.8621797","11777156.646465"
"heavy_oil","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.5077919630876","11.5616153241557","15.5726807072703","19.3988766995849","16.4406267705233","70.1133386936661","236.170741914569","359.745025260622","344.96685125875","309.785565729631","365.970636576832","549.574203892424","578.482305392177","692.9590588436","789.66780067866","956.634059611652","1027.28600266276","1140.19140952635","1720.51456208065","1887.75388011333","1865.53802796674","2158.83511587206","2851.39056722005","3226.48398249895","4057.73440124547","4801.45733868201","5585.38071426302","6162.90803411599","5700.06457305344","6527.40005387868","7163.6969498875","7930.60686508195","8736.14547419975","9353.72683575032","10468.483193952","12504.8323569477","14809.3659765517","14822.3831667636","16177.6369406094","15659.0992902453","18540.5825118528","19553.0947720557","20938.5057832926","22197.1810952462","23349.3777838965","26440.752983333","29519.5811760014","31351.8862688332","32027.713539927","35466.0125853463","34063.0190671933","35785.4413036666","41598.3032887865","44827.1493359767","47354.7367051853","50204.3769114229","53563.2814915465","56073.7472056015","62344.24183371","70761.0242871797","79179.0267374457","88847.5136456008","99126.4406491359","104943.273381962","114351.490674207","129879.039695464","137862.552161067","156763.787301945","177870.302016748","186351.759076021","203582.335280476","211954.590930422","230864.559394364","241272.483126809","260981.79803067","263120.386517503","259935.120568012","247983.036790085","253383.92033122","266871.392193182","281319.504299202","304043.217307149","328851.862662081","317694.462541857","335427.35287526","352311.673687356","366017.662464267","368348.724594744","385492.199808946","422374.166051394","419605.481465531","456685.065123811","512167.76018346","569141.831397554","593136.450325436","671544.650672078","723620.814577051","774896.023113687","826042.887572656","881361.040837544","989657.962403126","1088625.2194206","1166322.35044079","1207561.0051745","1280537.74537735","1407058.50576735","1515311.91998381","1644823.04652984","1797322.31647651","1995100.87030635","2156232.96596593","2306577.95573207","2506567.89019573","2720299.66440152","2931718.36312644","3317626.9527067","3504562.01844424","3740505.57723553","4077490.62093522","4032360.39811513","3890160.21640124","4202853.59450903","4269374.44079161","4351935.50931052","4388707.79618438","4099292.84429531","3771343.52620457","3477226.61447162","3249552.5096402","3130428.58849192","2931669.46923658","2990574.85340215","2900920.81849595","2948796.3228717","2911502.9353962","2992772.38280113","2969581.01171925","2897482.51825856","2837656.37770056","2795727.55906275","2687543.2164053","2646958.32050122","2713084.95707878","2674055.08651646","2638329.56493503","2644703.23984429","2645064.43780937","2545325.42655024","2548712.47690303","2633877.3561298","2697839.52794884","2660736.017878","2663270.02293934","2596881.08284239","2409929.90660903","2453232.27131603","2465308.36279066","2477069.76489449","2387155.00074396","2405425.21273628"
"light_oil","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.6413582185449","9.51128621026505","11.8889264264131","27.9959657110522","26.3773424544693","138.877390909506","514.514246318744","755.500706256802","674.695242358967","580.348310891277","676.145448120355","968.857292859334","948.023094290826","1060.51666356782","1204.33507921997","1459.50792239431","1489.21506479589","1707.3471885855","2611.52092886799","2874.34845963257","2501.02892547217","2672.10334421199","3718.23127892592","4259.44040513131","5443.14536451787","6832.49139629846","7425.74772814778","8163.12789429385","6647.79504008945","7232.05101929456","7075.52741703973","8538.13130847376","8979.0243577434","9215.98146639672","11085.7077653143","13987.5095868949","16697.5568322047","16140.9871339626","16348.2639371074","16090.351058248","18428.5851063918","20416.0125818003","21201.6483936091","21569.2013303218","22689.0799796974","25359.0644919858","28485.2111538994","32200.6374191391","35575.0452325735","40959.8446237211","44190.8185885836","45132.8007782007","56425.2992712796","60517.8061038565","63903.8709976338","69072.712267898","74744.4725653091","77305.1893429213","87164.5397771957","91103.989488008","93779.4307068095","97521.9650648833","104622.074304055","110298.143779811","120246.509974282","147755.688889107","156184.589413393","178804.374843444","208869.882009173","208082.768399341","223433.057144749","231280.78668802","262712.188486648","273344.836237927","302660.251965504","286394.81140811","279296.055344705","265775.413157965","288701.153942251","300559.261175785","320859.411591927","349640.666404365","382549.698854094","366491.648782095","382679.931889634","405202.691251706","419335.767470152","400241.779754753","428367.915513534","477807.583048428","482656.601767866","497601.275968226","540890.418121618","601764.574927863","581174.911684336","662809.323002035","721147.549951502","760646.970141739","802279.780137424","837486.343547538","925059.134055657","989069.389584469","1016560.89412054","1053673.33367767","1114192.92425144","1159713.41273554","1204756.50740876","1280788.16302606","1370295.30075775","1451755.32540246","1533952.3176107","1639953.00116743","1731330.62496629","1879640.79542237","2006040.33907989","2135160.36003196","2253185.69634735","2395476.79456048","2523968.88464905","2487007.53741818","2552535.12132214","2649632.46168456","2773767.91973136","2849312.94078552","2890381.51913581","2835579.93777255","2808023.56862063","2828696.39567307","2846955.73186769","2917255.68447596","2969829.13284667","3052274.11541145","3160526.85938276","3264067.09756776","3351804.65246116","3316350.30365807","3314206.95271187","3383545.02364077","3431098.72459461","3500247.94072729","3577104.53396144","3680582.49900754","3762813.08064327","3816597.27369394","3910743.74076471","3972828.78759606","3974428.86199029","4025959.70314839","4035759.30504994","4159728.81581734","4208602.17643948","4224374.22042206","4257037.22828033","4225184.49413235","4161708.20309821","4297290.1883157","4320804.26012603","4417436.99897166","4483961.63148027","4509291.55446507"
"natural_gas","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","198.357061381366","458.425208525822","1410.53910315638","4469.64578312676","9234.62319097691","14180.325921419","20179.5250445309","14709.2780851026","14061.3116845901","10764.1765309621","9353.63742780573","8767.38211305635","8057.70462678082","8472.05048833301","8238.42994937272","8767.38211305635","10177.9212162127","13118.0136593543","13884.9942966956","15471.8507877465","16475.7839745373","17476.3852757357","18243.3660379739","20654.5064423287","22887.1786095477","23909.8198340268","23667.3838003623","28294.6405573548","29969.6562419406","30934.9765623188","34145.9553989453","35720.513321556","36469.9110703117","38624.5615801694","46414.4133662174","49113.0502880842","44382.9707877858","46198.8789573451","50719.5600071378","42735.3386849308","49003.351257142","64085.4488752437","72714.2145734118","77458.4853464744","84039.0988337653","92245.7907659269","100386.343187548","124186.636896251","125255.937902929","111530.348103102","105784.391091375","108712.56534525","121633.834189065","131151.011273686","147669.854391705","165276.745149533","158948.842113899","165946.529743883","179482.184506877","179286.95395912","191686.84273168","208616.076329095","222153.777455573","238521.184413317","243043.844225995","265625.372809166","296750.782476709","313612.454372241","365106.80661369","424514.026590768","449444.52738627","469879.812848544","488530.774349635","524924.040037947","554517.765954865","602238.913732441","649323.567871763","688415.896747952","856373.90708311","915358.837489483","992573.587556325","1067980.428394","1175624.86001344","1252392.9696956","1361085.52295801","1512521.4261178","1640866.43101367","1737898.97993164","1809838.08663273","1964086.70910964","2065111.6491751","2147847.29416545","2197684.48818732","2165621.39690146","2260083.5021112","2296795.48126951","2371066.65813544","2513047.2853683","2586528.98538938","2605231.1549804","2562701.26244893","2592735.61664508","2776217.94957579","2828632.43483364","2852067.30327272","3011927.04012878","3133542.31691328","3292352.91677492","3403866.93933292","3494712.21578042","3468895.41951665","3528357.31105395","3559490.95466452","3656742.87450639","3837631.5808392","3874958.36858195","3897377.397161","4050824.7026379","4219134.02205255","4275028.03901936","4417618.2294479","4552181.43610488","4717831.17075602","4844123.83626265","5000507.52981528","5201355.43092948","5318705.86176706","5205683.20457357","5657710.91520311","5753759.2515418","5860508.81580639","5987092.62861324","6006194.55683104"
