Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15458.69324,15588.26099,15500.72853,15992.15491,16698.40214,15628.32365,16303.42522,16828.3479,17260.56514,17551.73478,18313.62935,17207.91397,17143.5878,17953.05328,18743.57306,19683.84165,21849.22176,23511.06666,23131.93087,20048.02213,18206.01653,17605.43897,17966.3387,17643.13027,18104.68379,18594.54556,19419.63265,19840.28404,21017.2645,21850.13341,17293.30231
Australia,AUS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31016.41533,30502.60587,30259.41807,31173.47373,32073.02667,32902.76973,33724.97201,34653.19125,35876.22337,37219.64111,38217.44944,38474.15333,39533.22346,40262.91406,41472.53879,42222.27272,42738.46579,44072.88403,44743.65989,44649.16077,44914.98121,45389.17017,46350.91995,46744.63254,47232.87539,47569.2946,48116.03108,48398.5497,49029.10571,49309.1124,48690.48113
Austria,AUT,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37494.56041,38399.67402,38774.49026,38658.64978,39435.21002,40425.39372,41319.375,42136.66228,43597.89007,45060.61875,46469.86106,46878.91624,47419.27841,47633.114,48633.27182,49387.02786,50840.69446,52565.07397,53166.0542,51030.72468,51843.42833,53179.14746,53297.44479,52997.75382,52932.90011,52873.85865,53345.74153,54172.98679,55258.37103,55833.5599,51855.70925
Azerbaijan,AZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7616.910275,7463.628859,5690.180939,4309.921444,3414.511213,2976.995207,2985.337163,3128.164118,3408.475411,3628.716857,3998.520467,4360.459434,4736.564372,5180.686482,5610.763139,7106.597907,9453.94186,11684.19156,12672.37624,13565.85509,14082.23815,13913.83668,14027.46877,14651.69396,14867.94375,14852.61172,14232.19261,14121.40694,14209.59317,14442.04086,13726.76966
Burundi,BDI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184.842005,1215.887187,1202.106294,1105.228686,1044.716068,947.8222094,861.4828791,839.1968453,870.0438005,850.0469311,828.00046,826.0289412,839.7779004,804.8842137,817.4611585,798.704827,815.0536287,815.9081941,827.7923145,831.5648243,846.1691368,852.5026216,862.715713,877.2729649,886.2354167,825.2056607,794.6042714,773.5728587,761.5241252,751.6641528,731.0632297
Belgium,BEL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35506.92651,36023.68428,36426.99315,35935.95739,36981.44895,37784.14989,38208.71867,39562.37298,40252.46891,41583.09739,43024.13991,43347.88921,43890.59811,44160.91143,45540.46691,46342.18661,47212.57777,48590.40054,48423.51548,47064.79002,47972.55884,48154.87115,48210.92466,48204.5857,48748.62059,49456.39858,49829.92739,50442.27054,51126.66695,51944.16703,48720.11189
Benin,BEN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175.208576,2191.840607,2179.50723,2227.3532,2195.822052,2253.119526,2277.761816,2336.545872,2358.280127,2411.991564,2478.218238,2532.634052,2570.787304,2579.697807,2614.212455,2581.642252,2606.817449,2685.130261,2738.194385,2724.084767,2704.705484,2707.8697,2759.848256,2876.903909,2975.854782,2945.970221,2961.440416,3044.517156,3160.78067,3287.309538,3323.144451
Burkina Faso,BFA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.540051,1080.515211,1054.253612,1061.586864,1046.609681,1076.468663,1162.451422,1201.950978,1254.137139,1309.40259,1296.74796,1343.543543,1362.280175,1426.616712,1447.503656,1527.022159,1574.730122,1590.83027,1632.948589,1631.193828,1716.358323,1775.779179,1834.543308,1883.79654,1907.949213,1925.332075,1981.429814,2044.386987,2117.813901,2175.50468,2155.76936
Bangladesh,BGD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517.729271,1534.525179,1582.3136,1621.326846,1648.734023,1696.567825,1735.922008,1775.964118,1829.503806,1876.599044,1937.729192,1998.06632,2037.23631,2097.168748,2171.688675,2279.531274,2399.082227,2537.111198,2659.049232,2762.180474,2883.466794,3034.951082,3195.78104,3349.025008,3511.645506,3700.110821,3920.144507,4160.703325,4440.855905,4753.727027,4871.446414
Bulgaria,BGR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12507.70993,11565.37045,10840.07555,10765.14749,10998.1439,11362.64302,12015.92329,10382.84841,10848.418,9993.446247,10503.61724,11124.50281,12036.1798,12767.26486,13701.49741,14779.18872,15904.8973,17078.3633,18250.53518,17767.50904,18160.60293,18661.47449,18911.57877,18911.12047,19202.8033,19988.21864,20740.78877,21469.93915,22206.08428,23265.87011,22379.08776
