Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966678464.2,987718980.8,999161460.2,1051915973,1122149322,1073228242,1144109169,1206710343,1263801319,1310658243,1391964026,1328657454,1342308638,1423874609,1505989865,1603485108,1807258378,1975611420,1975328105,1739025584,1602675635,1571285428,1624282783,1614522851,1675805741,1739910222,1835543678,1893259104,2023584261,2121975706,1693498508
Australia,AUS,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29E+11,5.27E+11,5.29E+11,5.51E+11,5.73E+11,5.95E+11,6.18E+11,6.42E+11,6.71E+11,7.04E+11,7.32E+11,7.47E+11,7.77E+11,8.01E+11,8.35E+11,8.61E+11,8.85E+11,9.18E+11,9.51E+11,9.69E+11,9.90E+11,1.01E+12,1.05E+12,1.08E+12,1.11E+12,1.13E+12,1.16E+12,1.19E+12,1.22E+12,1.25E+12,1.25E+12
Austria,AUT,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88E+11,2.98E+11,3.04E+11,3.06E+11,3.13E+11,3.21E+11,3.29E+11,3.36E+11,3.48E+11,3.60E+11,3.72E+11,3.77E+11,3.83E+11,3.87E+11,3.97E+11,4.06E+11,4.20E+11,4.36E+11,4.42E+11,4.26E+11,4.34E+11,4.46E+11,4.49E+11,4.49E+11,4.52E+11,4.57E+11,4.66E+11,4.77E+11,4.89E+11,4.96E+11,4.62E+11
Azerbaijan,AZE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54652854607,54270284525,42005200197,32301999242,25938505158,22877761619,23175172397,24519332399,26971265925,28967139492,32182491832,35368558565,38706967219,42658290558,46605804016,59637503648,80212442406,1.00E+11,1.11E+11,1.21E+11,1.28E+11,1.28E+11,1.30E+11,1.38E+11,1.42E+11,1.43E+11,1.39E+11,1.39E+11,1.41E+11,1.45E+11,1.39E+11
Burundi,BDI,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6444307086,6766318571,6834658278,6408175601,6162742476,5674653272,5220681010,5137672182,5381711611,5327356324,5281708122,5390289853,5629970138,5561074619,5829877934,5882346836,6200805749,6414854618,6726726438,6983199494,7341030040,7637064601,7976662580,8369449021,8724368199,8384117570,8333811187,8375481077,8510320717,8667121392,8692912762
Belgium,BEL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54E+11,3.60E+11,3.66E+11,3.62E+11,3.74E+11,3.83E+11,3.88E+11,4.03E+11,4.11E+11,4.25E+11,4.41E+11,4.46E+11,4.54E+11,4.58E+11,4.75E+11,4.86E+11,4.98E+11,5.16E+11,5.19E+11,5.08E+11,5.23E+11,5.32E+11,5.35E+11,5.38E+11,5.46E+11,5.58E+11,5.65E+11,5.74E+11,5.84E+11,5.97E+11,5.63E+11
Benin,BEN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10829251970,11286874437,11620707544,12298912034,12547399307,13305914521,13881300058,14677349359,15258720948,16073757802,17015312597,17922762308,18754921695,19400761823,20260154373,20607244158,21419940047,22702212483,23813843817,24366156425,24881272743,25618692190,26851264682,28782255585,30612139032,31156469107,32196993426,34023063768,36301676625,38794036240,40287138158
Burkina Faso,BFA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8965578967,9778755586,9801511802,10140779856,10274131848,10861439636,12057799392,12819470652,13756281626,14773591365,15052586781,16048075420,16746642338,18053298083,18861806397,20495592156,21777215287,22672559147,23987565705,24698065613,26784133779,28557929809,30400679458,32161664609,33553250183,34868949891,36946433804,39238401912,41829929268,44209263812,45062646234
Bangladesh,BGD,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57E+11,1.62E+11,1.71E+11,1.79E+11,1.86E+11,1.95E+11,2.04E+11,2.13E+11,2.24E+11,2.35E+11,2.47E+11,2.60E+11,2.70E+11,2.83E+11,2.97E+11,3.17E+11,3.38E+11,3.62E+11,3.84E+11,4.03E+11,4.26E+11,4.53E+11,4.83E+11,5.12E+11,5.43E+11,5.78E+11,6.19E+11,6.64E+11,7.17E+11,7.75E+11,8.02E+11
Bulgaria,BGR,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09E+11,99836522228,92576022967,91205699012,92863828833,95515138558,1.00E+11,86302942042,89573065863,82052429598,85816359442,89097722722,94329478879,99269659218,1.06E+11,1.13E+11,1.21E+11,1.29E+11,1.37E+11,1.32E+11,1.34E+11,1.37E+11,1.38E+11,1.37E+11,1.39E+11,1.43E+11,1.48E+11,1.52E+11,1.56E+11,1.62E+11,1.55E+11
